"variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"Red Meat",0.080122949992647,0.0766645094176155,0.0775276998415566,0.0724480276922963,0.0697748379681155
"Red Meat_Low",0.0798193724313596,0.0764149026040557,0.0773339155049756,0.0722271004090168,0.069500423442982
"Red Meat_High",0.0804263254005721,0.0769139812876967,0.0777214027955315,0.0726688491044768,0.0700490906733037
"Poultry",0.0901367118586918,0.0864618383511962,0.0871232486481166,0.0821561151209042,0.0793091000855627
"Poultry_Low",0.0899714586669035,0.0863016595600132,0.0870118758204349,0.0820290629739783,0.0791601801558911
"Poultry_High",0.0903019045805919,0.0866219609217763,0.0872345942931319,0.0822831316075273,0.0794579717691326
"Fish",0.0312440564920166,0.034598213669005,0.0314950420099436,0.0284917088709436,0.0316016366898041
"Fish_Low",0.031167841586025,0.0345085532800075,0.0313936441238578,0.0284058178190695,0.031520213658045
"Fish_High",0.0313202593902744,0.0346878573300968,0.0315964186438922,0.0285775847061704,0.0316830460287959
"Vegetables",0.304107236443686,0.301009054017575,0.30633789589292,0.323215013560919,0.319510812211832
"Vegetables_Low",0.303874277458201,0.300794803549977,0.306112562546426,0.323087835157688,0.319400692303572
"Vegetables_High",0.304340039545152,0.301223170201549,0.306563082158775,0.323342143745154,0.319620896434281
"Legumes, Beans, & Nuts",0.0422875393832522,0.0498438549008854,0.0425573960672829,0.0431601870548817,0.0498449596791204
"Legumes, Beans, & Nuts_Low",0.0421852357844315,0.0497412668376339,0.0424345792779009,0.0430683068731628,0.0497518484278813
"Legumes, Beans, & Nuts_High",0.0423898210477846,0.0499464208122401,0.0426801813554572,0.0432520494914846,0.0499380526094157
"Eggs & Cheese",0.0563581077524454,0.0632287435135984,0.0566603957063181,0.0716845014687306,0.077272597410063
"Eggs & Cheese_Low",0.0561237653488877,0.063016177213917,0.0564148297089278,0.0714957443317251,0.0770484019750453
"Eggs & Cheese_High",0.056592333666416,0.0634412133537761,0.0569058339208665,0.0718731818369865,0.0774966839168859
"Grains",0.395743398077261,0.388193786130125,0.398298321833862,0.378844446231325,0.372686055955502
"Grains_Low",0.395585943034583,0.388084732334639,0.398113144233696,0.378764231170699,0.372588679342653
"Grains_High",0.395900771104395,0.388302800880145,0.398483383817154,0.378924640576835,0.372783402324958
